Alpha,Cl,Force
0.0,0.3674,6.39067998701748
0.25,0.396,6.888026929862797
0.5,0.4341,7.550307351003662
0.75,0.4587,7.977416032717248
1.0,0.495,8.607575037433783
1.25,0.5218,9.072046516141667
1.5,0.5474,9.5151363751633
1.75,0.5797,10.07409418509751
2.0,0.6085,10.571563413661217
2.25,0.6339,11.009276056151451
2.5,0.6607,11.470573385769473
2.75,0.6885,11.948434529689374
3.0,0.7166,12.430641319462913
3.25,0.7438,12.89632564786143
3.5,0.7699,13.34199065689409
3.75,0.7954,13.776274764954422
4.0,0.8211,14.21299327956826
4.25,0.8471,14.653819972566474
4.5,0.8738,15.105609513088272
4.75,0.8972,15.499185729752556
5.0,0.9213,15.903673166811238
5.25,0.946,16.31727365921246
5.5,0.9706,16.727851380796043
5.75,0.9949,17.131919642317854
6.0,1.0188,17.527725094044154
6.25,1.0422,17.913522156395405
6.5,1.065,18.28757366887414
6.75,1.0873,18.651582343218966
7.0,1.1094,19.010673366962735
7.25,1.1315,19.368239881950387
7.5,1.1536,19.724240921792052
7.75,1.1755,20.075220097987533
8.0,1.1971,20.419443434162652
8.25,1.2182,20.75348278820409
8.5,1.2388,21.077331719982006
8.75,1.2581,21.37739244464572
9.0,1.2755,21.643537050906584
9.25,1.2908,21.87247774837284
9.5,1.3041,22.066029774433396
9.75,1.3159,22.232764630334255
10.0,1.3249,22.350844489987573
10.25,1.3309,22.417101816323346
10.5,1.3363,22.47212452089376
10.75,1.3413,22.519311534705967
11.0,1.3473,22.582154873621995
11.25,1.3539,22.65386905111813
11.5,1.3594,22.7059981331839
11.75,1.3649,22.756972222722528
12.0,1.3683,22.77183528637977
12.25,1.3687,22.735826759571445
12.5,1.3694,22.70394199873358
12.75,1.3687,22.648024376136398
13.0,1.3644,22.531883404539784
13.25,1.3568,22.36083048010611
13.5,1.3456,22.130281021420842
13.75,1.3323,21.86524482497353
14.0,1.3196,21.610183902474933
14.25,1.3103,21.41081363961502
14.5,1.305,21.276569832087663
14.75,1.3011,21.164733612176864
15.0,1.2996,21.091388807457214
15.25,1.297,20.999602416834122
15.5,1.2952,20.920197842075208
15.75,1.2975,20.906260849038528
16.0,1.2921,20.767648250723344
16.25,1.2873,20.638363639177562
16.5,1.2822,20.50395405428694
16.75,1.2755,20.343734487206675
17.0,1.2673,20.15951060963339
17.25,1.2568,19.938798006291442
17.5,1.2419,19.648687660745757
17.75,1.2181,19.21877953075962
18.0,1.1716,18.4331659491173
18.25,1.0657,16.71917953859014
18.5,1.0634,16.634806081838995
18.75,0.995,15.519112091647926
19.0,1.0031,15.598839158572982
